plant_species;family;number_herb;number_herb_leaf;AOO;mean_N_per_LDM;EIV-N;EIV-T;EIV-L;plant_height;Woodiness
Pedicularis verticillata;Orobanchaceae;12;9;19.94333333333333;NA;2.54503289745409;2.00921430492477;8.02099880088756;0.08345443938041926;Non-Woody
Persicaria amphibia;Polygonaceae;29;18;9451.14;NA;6.46818772879908;4.11364475181551;6.58591398720161;0.5639083635892177;Non-Woody
Persicaria hydropiper;Polygonaceae;29;21;9087.71;NA;6.64196873617282;4.27272564074748;6.74865410658023;0.5113875543694797;Non-Woody
Persicaria lapathifolia;Polygonaceae;37;15;9097.806666666664;15.54;7.21618310886598;4.44197580599979;7.277802354800704;0.6543893899412373;Non-Woody
Persicaria maculosa;Polygonaceae;39;23;9103.163333333332;32.49000000000001;7.22198689653737;4.32979549289754;6.68374604190111;0.325418166003226;Non-Woody
Persicaria minor;Polygonaceae;5;0;2998.26;NA;7.72168689974833;4.55229666309477;6.63364670223572;0.25457298950218304;Non-Woody
Persicaria mitis;Polygonaceae;18;11;2136.4133333333334;NA;7.45328855274893;4.54378628560425;6.6064449799058;0.6;Non-Woody
Petasites albus;Asteraceae;53;42;1406.3566666666666;NA;5.98172949187385;3.46685093006564;3.5940149996926;0.3868672840535339;Non-Woody
Petasites hybridus;Asteraceae;47;35;6382.193333333334;NA;8.1159946238234;3.94251766413469;6.51384288949524;0.4481404746557165;Non-Woody
Petasites paradoxus;Asteraceae;21;19;334.5133333333334;NA;3.92575223249;2.48871671107642;8.86880123486793;0.30000000000000004;Non-Woody
Petasites spurius;Asteraceae;5;4;212.74333333333337;NA;5.19682983598532;4.35341983736431;7.78451826447603;0.17320508075688773;Non-Woody
Petrocallis pyrenaica;Brassicaceae;3;2;25.52;NA;0.95607671258498;0.851213513524974;8.87924366508426;0.01515399271596768;Non-Woody
Petrorhagia prolifera;Caryophyllaceae;12;7;1811.4;NA;2.17782598734509;5.06735973732973;8.13671195858671;0.34086580994024984;Non-Woody
Petrorhagia saxifraga;Caryophyllaceae;10;4;219.75333333333333;NA;2.2579013539592;5.23780062452785;8.20616983150435;0.22635095279189343;Non-Woody
Peucedanum alsaticum;Apiaceae;12;8;127.24;NA;4.0596432126987;5.17014397412533;6.66840484935453;NA;Non-Woody
Peucedanum cervaria;Apiaceae;38;28;1137.8066666666666;NA;3.41574841357456;4.77198294778111;6.73719724147449;NA;Non-Woody
Peucedanum officinale;Apiaceae;18;14;269.2366666666667;NA;2.79463711739462;5.08936686335867;6.61369702814177;0.9486832980505138;Non-Woody
Peucedanum oreoselinum;Apiaceae;39;21;1845.96;NA;2.53765790219009;4.64844561285754;6.01400231231621;0.31116648864423924;Non-Woody
Peucedanum ostruthium;Apiaceae;25;21;259.5833333333333;NA;7.01793335110245;2.15020088477788;5.91976272180758;NA;Non-Woody
Peucedanum palustre;Apiaceae;28;19;5389.416666666667;NA;4.19409403773653;4.16310575711204;6.56171545211323;0.08970763929032693;Non-Woody
Phalaris arundinacea;Poaceae;126;85;11921.596666666666;26.198271913984676;7.26649562505529;5.621144818992595;8.217674763291736;1.0240462340325458;Non-Woody
Phegopteris connectilis;Aspleniaceae;5;5;2383.9066666666663;20.675082742487493;5.16744322359223;3.22125934369782;1.97199293228861;0.20658135623465815;Non-Woody
Phleum alpinum;Poaceae;11;11;NA;22.50841719394943;6.0786718851310155;1.85334955079524;7.777766523323296;0.22976432790249535;Non-Woody
Phleum arenarium;Poaceae;3;3;140.71666666666667;NA;3.02897497314562;4.6709404469986495;8.46419585529028;0.09384088402274428;Non-Woody
Phleum hirsutum;Poaceae;5;5;132.18666666666667;NA;4.32414949775683;2.15575415052349;7.85601527146148;0.3057329618126816;Non-Woody
Phleum paniculatum;Poaceae;1;1;65.87666666666667;NA;4.87586441017885;4.76429544509187;7.32357335894074;0.18566355334451112;Non-Woody
Phleum phleoides;Poaceae;22;18;1604.543333333333;14.7;3.10924367903661;4.59158425683418;7.92491898453653;0.363424118566428;Non-Woody
Phleum pratense;Poaceae;122;78;NA;22.411193606087423;4.58093093969014;3.772550384120057;7.234185210262013;0.4707668291870906;Non-Woody
