"taxon_name","min_fr"
"Callicarpa bodinieri",2011
"Callistephus chinensis",1804
"Callitriche deflexa",1977
"Callitropsis nootkatensis",1860
"Calluna vulgaris",1823
"Calocedrus decurrens",2017
"Calotis cuneifolia",1895
"Calotis hispidula",1898
"Calotis lappulacea",1902
"Calystegia hederacea",1986
"Calystegia sepium",1837
"Calystegia silvatica",1863
"Calystegia × howittiorum",1959
"Calystegia × lucana",1901
"Calystegia × pulchra",1850
"Calystegia × scanica",1960
"Camassia leichtlinii",1984
"Camelina alyssum",1800
"Camelina anomala",2002
"Camelina laxa",1958
"Camelina microcarpa",1700
"Camelina rumelica",1855
"Camelina sativa",1600
"Camissonia campestris",1905
"Campanula alliariifolia",1943
"Campanula carpatica",1947
"Campanula cochleariifolia",1934
"Campanula erinus",1999
"Campanula fenestrellata",2000
"Campanula fragilis",1958
"Campanula garganica",1950
"Campanula glomerata",1662
"Campanula hofmannii",1950
"Campanula lactiflora",1869
"Campanula latifolia",1716
"Campanula medium",1830
"Campanula patula",1750
"Campanula persicifolia",1802
"Campanula portenschlagiana",1922
"Campanula poscharskyana",1949
"Campanula punctata",2005
"Campanula pyramidalis",1883
"Campanula rapunculoides",1708
"Campanula rapunculus",1688
"Campanula rhomboidalis",1880
"Campanula rotundifolia",1600
"Campanula × iserana",1974
"Campeiostachys dahurica",1961
"Campsis radicans",1983
"Canna indica",1989
"Canna × hybrida",1992
"Cannabis sativa",-550
"Capnoides sempervirens",1905
"Capparis spinosa",1804
"Capsella bursa-pastoris",1548
"Capsella rubella",1920
"Capsicum annuum",1830
"Caragana arborescens",1791
"Caragana frutex",1807
"Caragana halodendron",1860
"Cardamine bulbifera",1980
"Cardamine chelidonia",1930
"Cardamine corymbosa",1975
"Cardamine flexuosa",1850
"Cardamine glanduligera",1950
"Cardamine graeca",1968
"Cardamine heptaphylla",1907
"Cardamine hirsuta",1694
"Cardamine parviflora",1850
"Cardamine pratensis",1911
"Cardamine quinquefolia",2005
"Cardamine raphanifolia",1930
"Cardamine trifolia",1903
"Cardiospermum grandiflorum",1959
"Cardiospermum halicacabum",1800
"Carduus acanthoides",1700
"Carduus crispus",1862
"Carduus defloratus",1868
"Carduus hamulosus",1878
"Carduus macrocephalus",1930
"Carduus nigrescens subsp. vivariensis",1850
"Carduus nutans",1658
"Carduus pycnocephalus",1850
"Carduus tenuiflorus",1860
"Carduus × theriotii",1850
"Carex amgunensis",1936
"Carex bebbii",1950
"Carex bohemica",1834
"Carex buchananii",1990
"Carex crawfordii",1926
"Carex crus-corvi",1947
"Carex grayi",2010
"Carex loliacea",2010
"Carex melanostachya",1950
"Carex montana",2001
"Carex morrowii",1950
"Carex muricata",2010
"Carex muskingumensis",1947
"Carex pendula",1976
"Carex praecox",1839
"Carex praticola",1985
"Carex scoparia",1982
"Carex secalina",1970
"Carex straminea",1990
"Carex strigosa",1993
"Carex tribuloides",1946
"Carex turkestanica",1947
"Carex vulpina",1946
"Carex vulpinoidea",1880
"Carlina acaulis",1737
"Carlina vulgaris",1600
"Carpesium cernuum",1988
"Carpinus betulus",1805
"Carpobrotus acinaciformis",1885
"Carpobrotus edulis",1800
"Carpobrotus glaucescens",1947
"Carpobrotus quadrifidus",1999
"Carrichtera annua",1846
"Carthamus tinctorius",1804
"Carum carvi",1661
"Carya cordiformis",1820
"Carya laciniosa",1817
"Carya ovata",1808
"Carya tomentosa",1858
"Caryopteris incana",2016
"Caryopteris × clandonensis",1980
"Castanea sativa",1548
"Catalpa bignonioides",1763
"Catalpa ovata",2007
"Catalpa × erubescens",1924
"Catananche caerulea",1850
"Catapodium rigidum",1910
"Catolobus pendulus",1842
"Caucalis platycarpos",1688
"Caylusea abyssinica",1857
"Ceanothus × delileanus",1874
"Cedrus atlantica",1850
"Cedrus deodara",1968
"Cedrus libani",1968
"Celastrus orbiculatus",1898
"Celastrus scandens",1935
"Celosia argentea",1807
"Celtis australis",1770
"Celtis occidentalis",1805
"Cenchrus alopecuroides",2000
"Cenchrus ciliaris",1999
"Cenchrus echinatus",1960
"Cenchrus flaccidus",2000
"Cenchrus longisetus",1913
"Cenchrus longispinus",1838
"Cenchrus petiolaris",1911
"Cenchrus setaceus",1989
"Cenchrus spinifex",1888
"Centaurea alba",1850
"Centaurea arenaria",1919
"Centaurea aspera",1788
"Centaurea benedicta",1883
"Centaurea calcitrapa",1597
"Centaurea calocephala",1877
"Centaurea cheiranthifolia",1716
"Centaurea cineraria",1928
"Centaurea cyanoides",1947
"Centaurea cyanus",1538
"Centaurea debeauxii",1928
"Centaurea decipiens",1880
"Centaurea depressa",1909
"Centaurea dichroantha",1960
"Centaurea diffusa",1803
"Centaurea diluta",1850
"Centaurea glaberrima",1850
"Centaurea gymnocarpa",1944
"Centaurea hyalolepis",1908
"Centaurea iberica",1932
"Centaurea jacea",1600
"Centaurea jacea subsp. angustifolia",1700
"Centaurea macrocephala",1848
"Centaurea macroptilon",1658
"Centaurea melitensis",1826
"Centaurea montana",1700
"Centaurea nigra",1658
"Centaurea nigrescens",1823
"Centaurea orientalis",1893
"Centaurea ovina",1968
"Centaurea pallescens",1892
"Centaurea paniculata",1870
"Centaurea pectinata",1850
