"taxon_name","n","native_to_europe","wcvp_accepted_id","family","genus"
"Agrostis vinealis",6,TRUE,390633,"Poaceae","Agrostis"
"Agrostula truncatula subsp. durieui",2,TRUE,540020,"Poaceae","Agrostula"
"Aichryson bollei",1,FALSE,2626770,"Crassulaceae","Aichryson"
"Aichryson dichotomum",3,FALSE,2626773,"Crassulaceae","Aichryson"
"Aichryson divaricatum",1,FALSE,2626774,"Crassulaceae","Aichryson"
"Aichryson laxum",2,FALSE,2626782,"Crassulaceae","Aichryson"
"Aichryson parlatorei",1,FALSE,2626791,"Crassulaceae","Aichryson"
"Aichryson punctatum",3,FALSE,2626798,"Crassulaceae","Aichryson"
"Aichryson tortuosum",1,FALSE,2626804,"Crassulaceae","Aichryson"
"Ailanthus altissima",18,FALSE,2626815,"Simaroubaceae","Ailanthus"
"Aira caryophyllea",7,TRUE,390804,"Poaceae","Aira"
"Aira elegans",2,TRUE,519580,"Poaceae","Aira"
"Aira praecox",6,TRUE,391043,"Poaceae","Aira"
"Aizoon canariense",1,FALSE,2627016,"Aizoaceae","Aizoon"
"Ajania pacifica",1,FALSE,3107194,"Asteraceae","Ajania"
"Ajuga chamaepitys",5,TRUE,5197,"Lamiaceae","Ajuga"
"Ajuga chamaepitys subsp. chia",6,TRUE,5200,"Lamiaceae","Ajuga"
"Ajuga genevensis",10,TRUE,5266,"Lamiaceae","Ajuga"
"Ajuga iva",2,TRUE,5293,"Lamiaceae","Ajuga"
"Ajuga laxmannii",4,TRUE,5308,"Lamiaceae","Ajuga"
"Ajuga orientalis",1,TRUE,5347,"Lamiaceae","Ajuga"
"Ajuga pyramidalis",2,TRUE,5370,"Lamiaceae","Ajuga"
"Ajuga reptans",27,TRUE,5385,"Lamiaceae","Ajuga"
"Ajuga salicifolia",3,TRUE,5393,"Lamiaceae","Ajuga"
"Akebia quinata",2,FALSE,517411,"Lardizabalaceae","Akebia"
"Akebia trifoliata",1,FALSE,517421,"Lardizabalaceae","Akebia"
"Akhania canescens",1,FALSE,3288839,"Amaranthaceae","Akhania"
"Albizia julibrissin",13,FALSE,2627374,"Fabaceae","Albizia"
"Albizia lebbeck",1,FALSE,2627391,"Fabaceae","Albizia"
"Albizia procera",1,FALSE,2627494,"Fabaceae","Albizia"
"Albuca bracteata",1,FALSE,456152,"Asparagaceae","Albuca"
"Alcea acaulis",2,FALSE,2627621,"Malvaceae","Alcea"
"Alcea apterocarpa",3,FALSE,2627628,"Malvaceae","Alcea"
